Date,Value
1/1/2001,1215162300
2/1/2001,1203668400
3/1/2001,1322155000
4/1/2001,1327224500
5/1/2001,1170568100
6/1/2001,1265732800
7/1/2001,1186805200
8/1/2001,1055621700
9/1/2001,1789906000
10/1/2001,1361033900
11/1/2001,1317790400
12/1/2001,1303608500
1/1/2002,1490628500
2/1/2002,1444200000
3/1/2002,1385540000
4/1/2002,1372613600
5/1/2002,1279613600
6/1/2002,1521039500
7/1/2002,2012640000
8/1/2002,1374013600
9/1/2002,1473959000
10/1/2002,1717287300
11/1/2002,1488161000
12/1/2002,1289625700
1/1/2003,1539433800
2/1/2003,1400452600
3/1/2003,1503596600
4/1/2003,1498577100
5/1/2003,1554328500
6/1/2003,1562219000
7/1/2003,1507327200
8/1/2003,1229836600
9/1/2003,1501457600
10/1/2003,1469452100
11/1/2003,1313181000
12/1/2003,1312119500
1/1/2004,1722750000
2/1/2004,1554000000
3/1/2004,1528634700
4/1/2004,1583171400
5/1/2004,1524950000
6/1/2004,1381109500
7/1/2004,1456371400
8/1/2004,1260227200
9/1/2004,1360850900
10/1/2004,1571990400
11/1/2004,1524465700
12/1/2004,1449527200
1/1/2005,1658645000
2/1/2005,1636467800
3/1/2005,1874017200
4/1/2005,2180315700
5/1/2005,1960127100
6/1/2005,1929251300
7/1/2005,1962713500
8/1/2005,1930243400
9/1/2005,2232144200
10/1/2005,2493393300
11/1/2005,2260836100
12/1/2005,2057125200
1/1/2006,2595998000
2/1/2006,2380568400
3/1/2006,2310510800
4/1/2006,2406755200
5/1/2006,2591135900
6/1/2006,2632855400
7/1/2006,2440476000
8/1/2006,2280876500
9/1/2006,2563743500
10/1/2006,2708938600
11/1/2006,2826198000
12/1/2006,2462849000
1/1/2007,2983144500
2/1/2007,2935275700
3/1/2007,3205736800
4/1/2007,3006294500
5/1/2007,3104253600
6/1/2007,3261343300
7/1/2007,3564664200
8/1/2007,4091885600
9/1/2007,3196581500
10/1/2007,3477202100
11/1/2007,4317578500
12/1/2007,3299866500
1/1/2008,4925982300
2/1/2008,4148143000
3/1/2008,4661172000
4/1/2008,4113069000
5/1/2008,4039814700
6/1/2008,4840303300
7/1/2008,5923937200
8/1/2008,4264482300
9/1/2008,7009506600
10/1/2008,7290362100
11/1/2008,6199530000
12/1/2008,5320791300
1/1/2009,5844561500
2/1/2009,7022036200
3/1/2009,9059210000
